title,director,cast,genre,notes
Landscape with Invisible Hand,Metro-Goldwyn-Mayer,"Cory Finley, Asante Blackk, Kylie Rogers, Tiffany Haddish",[189],
Birth/Rebirth,Shudder,"Marin Ireland, Judy Reyes, Breda Wool, Monique Gabriela Curnen, LaChanze",[190],
The Adults,Variance Films,"Dustin Guy Defa, Michael Cera, Hannah Gross, Sophia Lillis",[191],
Retribution,Lionsgate,"Nimród Antal, Liam Neeson, Noma Dumezweni, Lilly Aspell, Jack Champion, Embeth Davidtz, Matthew Modine",[193],
Vacation Friends 2,Hulu,"Clay Tarver, John Cena, Lil Rel Howery, Yvonne Orji, Meredith Hagner, Carlos Santos, Ronny Chieng, Jamie Hector, Steve Buscemi",[194],
You Are So Not Invited to My Bat Mitzvah,Netflix,"Sunny Sandler, Adam Sandler, Idina Menzel, Jackie Sandler, Sadie Sandler, Jackie Hoffman, Luis Guzmán",[195],
Bottoms,Orion Pictures,"Emma Seligman, Rachel Sennott, Ayo Edebiri, Havana Rose Liu, Kaia Gerber, Nicholas Galitzine, Dagmara Domińczyk, Marshawn Lynch",[196],
Golda,Bleecker Street,"Guy Nattiv, Helen Mirren, Camille Cottin, Liev Schreiber",[197],
MR-9: Do or Die,Jaaz Multimedia,"Sakshi Pradhan, Frank Grillo, Michael Jai White, Tariq Anam Khan, Jessia Islam",[198][199],
The Hill,Briarcliff Entertainment,"Jeff Celentano, Scott Marshall Smith, Angelo Pizzo, Colin Ford, Dennis Quaid, Joelle Carter, Scott Glenn",[200],
The Good Mother,Vertical Entertainment,"Hilary Swank, Olivia Cooke, Jack Reynor, Hopper Penn",[201],
All Fun and Games,Vertical Entertainment,"Natalia Dyer, Asa Butterfield, Benjamin Evan Ainsworth, Annabeth Gish",[202],
My Big Fat Greek Wedding 3,Focus Features,"Nia Vardalos, John Corbett, Louis Mandylor, Elena Kampouris, Gia Carides, Joey Fatone, Lainie Kazan, Andrea Martin",[204],
Sitting in Bars with Cake,Amazon Studios,"Trish Sie, Yara Shahidi, Odessa A'zion, Martha Kelly, Ron Livingston, Bette Midler",[205],
Aristotle and Dante Discover the Secrets of the Universe,Blue Fox Entertainment,"Eugenio Derbez, Eva Longoria",[206],
Dumb Money,Columbia Pictures,"Craig Gillespie, Paul Dano, Pete Davidson, Vincent D'Onofrio, America Ferrera, Nick Offerman, Anthony Ramos, Sebastian Stan, Shailene Woodley, Seth Rogen",[209],
Love at First Sight,Netflix,"Vanessa Caswill, Haley Lu Richardson, Ben Hardy, Dexter Fletcher, Rob Delaney, Sally Phillips, Jameela Jamil",[210],
A Million Miles Away,Amazon Studios,"Michael Peña, Rosa Salazar, Sarayu Blue, Verónica Falcón, Julio Cesar Cedillo, Garret Dillahunt",[211],
The Retirement Plan,Darius Films,"Nicolas Cage, Ron Perlman, Ashley Greene, Jackie Earle Haley, Grace Byers, Ernie Hudson, Lynn Whitfield, Joel David Moore",[212],
Outlaw Johnny Black,Samuel Goldwyn Films,"Michael Jai White, Anika Noni Rose, Erica Ash, Kevin Chapman, Kym Whitley, Tommy Davidson, Buddy Lewis, Chris Browning, Barry Bostwick, Gary Anthony Williams, Glynn Turman",[213],
Camp Hideout,Roadside Attractions,"Sean Olson, Corbin Bleu, Amanda Leighton, Christopher Lloyd",[214],
The Inventor,Blue Fox Entertainment,"Jim Capobianco, Stephen Fry, Marion Cotillard, Daisy Ridley, Matt Berry, Natalie Palamides, Jim Capobianco",[215],
Spy Kids: Armageddon,Netflix,"Robert Rodriguez, Gina Rodriguez, Zachary Levi, Billy Magnussen, D. J. Cotrona",[216],
Reptile,Netflix,"Grant Singer, Benicio del Toro, Justin Timberlake, Alicia Silverstone, Eric Bogosian, Ato Essandoh, Domenick Lombardozzi, Michael Pitt",[217],
Cassandro,Amazon Studios,"Roger Ross Williams, Gael García Bernal, Roberta Colindrez, Joaquín Cosío, Raúl Castillo, El Hijo del Santo, Bad Bunny",[218],
Flora and Son,Apple TV+,"John Carney, Eve Hewson, Jack Reynor, Joseph Gordon-Levitt",[219],
No One Will Save You,Hulu,"Brian Duffield, Kaitlyn Dever",[220],
It Lives Inside,Neon,"Megan Suri, Neeru Bajwa, Vik Sahay, Betty Gabriel",[221],
Saw X,Lionsgate,"Kevin Greutert, Josh Stolberg, Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand, Michael Beach",[225],
Fair Play,Netflix,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",[226],
The Re-Education of Molly Singer,Lionsgate,"Britt Robertson, Ty Simpkins, Nico Santos, Cierra Ramirez, Holland Roden, Wendie Malick, Jaime Pressly",[228],
Deliver Us,Magnet Releasing,"Alexander Siddig, Thomas Kretschmann",[229],
Pet Sematary: Bloodlines,Paramount+,"Jackson White, Jack Mulhern, Henry Thomas, Forrest Goodluck, Natalie Alyn Lind, Isabella Star LaBlanc, Pam Grier, David Duchovny",[233],
Totally Killer,Amazon Studios,"Nahnatchka Khan, Kiernan Shipka, Olivia Holt, Julie Bowen, Randall Park",[234],
V/H/S/85,Studio 71,"Gigi Saul Guerrero, Scott Derrickson, David Bruckner, Natasha Kermani, Jordan Belfi, Kelli Garner, Gabriela Roel, James Ransone, Freddy Rodriguez, Britt Baron",[235],
The Caine Mutiny Court-Martial,Republic Pictures,"William Friedkin, Kiefer Sutherland, Lance Reddick, Jason Clarke, Jake Lacy, Monica Raymund, Lewis Pullman, Jay Duplass, Tom Riley",[236],
Dicks: The Musical,A24,"Larry Charles, Megan Mullally, Megan Thee Stallion, Bowen Yang, Nathan Lane",[237],
Foe,Amazon Studios,"Garth Davis, Iain Reid, Saoirse Ronan, Paul Mescal, Aaron Pierre",[238],
She Came to Me,Vertical Entertainment,"Rebecca Miller, Peter Dinklage, Marisa Tomei, Joanna Kulig, Brian d'Arcy James, Anne Hathaway",[239],
The Burial,Amazon Studios,"Maggie Betts, Doug Wright, Jamie Foxx, Tommy Lee Jones, Jurnee Smollett, Mamoudou Athie, Bill Camp, Pamela Reed, Alan Ruck",[240],
Desperation Road,Lionsgate,"Michael Farris Smith, Garrett Hedlund, Mel Gibson, Willa Fitzgerald, Ryan Hurst",[241],
Miranda's Victim,Vertical Entertainment,"Michelle Danner, Abigail Breslin, Luke Wilson, Andy García, Donald Sutherland, Ryan Phillippe",[242],
Cat Person,Rialto Pictures,"Susanna Fogel, Michelle Ashford, Emilia Jones, Nicholas Braun, Geraldine Viswanathan, Hope Davis, Fred Melamed, Isabella Rossellini",[243],
Dear David,Lionsgate,"John McPhail, Augustus Prew, Andrea Bang, Justin Long",[248],
Divinity,Utopia,"Eddie Alcazar, Stephen Dorff, Bella Thorne, Scott Bakula, Jason Genao, Moisés Arias, Karrueche Tran, Caylee Cowan",[249],
In the Fire,Saban Films,"Conor Allyn, Amber Heard, Eduardo Noriega",[250],
Pain Hustlers,Netflix,"David Yates, Wells Tower, Emily Blunt, Chris Evans, Andy García, Catherine O'Hara, Jay Duplass, Brian d'Arcy James, Chloe Coleman",[252],
Nyad,Netflix,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Annette Bening, Jodie Foster, Rhys Ifans",[253],
Old Dads,Netflix,"Bill Burr, Bobby Cannavale, Bokeem Woodbine, Miles Robbins, Katie Aselton, Reign Edwards",[254],
Butcher's Crossing,Saban Films,"Gabe Polsky, Nicolas Cage, Fred Hechinger, Xander Berkeley, Rachel Keller, Jeremy Bobb, Paul Raci",[255],
The Other Zoey,Brainstorm Media,"Sara Zandieh, Josephine Langford, Drew Starkey, Archie Renaux, Patrick Fabian, Heather Graham, Andie MacDowell",[256],
Sick Girl,Lionsgate,"Nina Dobrev, Brandon Mychal Smith, Sherry Cola, Stephanie Koenig, Ray McKinnon, Dan Bakkedahl, Wendi McLendon-Covey",[257],
The Persian Version,Sony Pictures Classics,"Maryam Keshavarz, Niousha Noor, Bijan Daneshmand",[258],
Under the Boardwalk,Paramount Pictures,"David Soren, Lorene Scafaria, Keke Palmer, Michael Cera, Bobby Cannavale",[260],
Freelance,Relativity Media,"Pierre Morel, John Cena, Alison Brie, Juan Pablo Raba, Alice Eve, Marton Csokas, Christian Slater",[261],
The Holdovers,Focus Features,"Alexander Payne, Paul Giamatti, Da'Vine Joy Randolph",[262],
The Killer,Netflix,"David Fincher, Andrew Kevin Walker, Michael Fassbender, Arliss Howard, Charles Parnell, Sala Baker, Sophie Charlotte, Tilda Swinton",[263],
Fingernails,Apple TV+,"Jessie Buckley, Riz Ahmed, Jeremy Allen White, Annie Murphy, Luke Wilson",[264],
